               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.022696,            0.006139,           0.0031131,             0.91882,             0.73972,               0.813,             0.48984,            0.026611,           0.0037107,           0.0027437,           0.0078963,           0.0078963,           0.0078963
                  87,            0.022674,           0.0061446,           0.0031263,             0.91875,             0.73968,               0.813,             0.48986,            0.026607,           0.0037168,           0.0027276,           0.0078715,           0.0078715,           0.0078715
                  88,            0.022588,           0.0061065,           0.0031193,             0.91905,             0.73988,             0.81272,             0.48989,            0.026592,           0.0037183,           0.0027197,           0.0078467,           0.0078467,           0.0078467
                  89,            0.022637,           0.0061075,           0.0031157,             0.92212,             0.73912,             0.81247,             0.48968,            0.026601,           0.0037228,            0.002718,            0.007822,            0.007822,            0.007822
                  90,             0.02248,           0.0061079,           0.0030939,             0.92102,             0.73983,             0.81252,             0.48968,            0.026581,           0.0037283,           0.0027127,           0.0077973,           0.0077973,           0.0077973
                  91,              0.0225,           0.0060785,           0.0031233,             0.92167,              0.7399,             0.81235,             0.48967,            0.026585,           0.0037315,           0.0027128,           0.0077725,           0.0077725,           0.0077725
                  92,            0.022516,            0.006158,           0.0031036,             0.92225,             0.74022,             0.81239,             0.48967,            0.026606,           0.0037349,           0.0027138,           0.0077478,           0.0077478,           0.0077478
                  93,            0.022452,           0.0060746,           0.0031131,             0.91891,             0.74171,              0.8122,             0.48937,             0.02662,           0.0037415,           0.0027119,            0.007723,            0.007723,            0.007723
                  94,            0.022431,           0.0060991,           0.0031155,             0.91936,             0.74154,             0.81208,             0.48911,            0.026635,           0.0037466,           0.0027079,           0.0076983,           0.0076983,           0.0076983
                  95,            0.022523,           0.0060915,           0.0031507,             0.91525,             0.74309,             0.81164,             0.48932,             0.02662,           0.0037536,            0.002697,           0.0076735,           0.0076735,           0.0076735
                  96,            0.022379,           0.0060731,           0.0031342,             0.91616,             0.74178,             0.81144,             0.48952,            0.026622,           0.0037582,           0.0026902,           0.0076488,           0.0076488,           0.0076488
                  97,            0.022389,           0.0060786,           0.0031008,             0.91634,             0.74088,             0.81113,             0.48918,             0.02665,           0.0037612,           0.0026924,            0.007624,            0.007624,            0.007624
                  98,             0.02236,           0.0060993,           0.0031208,             0.91797,              0.7391,             0.81082,             0.48896,            0.026664,           0.0037669,           0.0026923,           0.0075993,           0.0075993,           0.0075993
                  99,            0.022253,           0.0060657,           0.0030563,             0.91988,              0.7382,             0.81073,              0.4889,             0.02667,           0.0037719,           0.0026807,           0.0075745,           0.0075745,           0.0075745
                 100,            0.022177,           0.0060334,           0.0031206,             0.92295,             0.73633,             0.81062,             0.48895,            0.026655,           0.0037766,           0.0026742,           0.0075498,           0.0075498,           0.0075498
                 101,            0.022286,           0.0060238,           0.0031134,             0.92219,             0.73682,             0.81063,             0.48904,            0.026657,           0.0037784,           0.0026665,            0.007525,            0.007525,            0.007525
                 102,            0.022172,           0.0060577,           0.0030836,             0.92191,             0.73683,             0.81051,             0.48865,            0.026677,           0.0037832,           0.0026616,           0.0075003,           0.0075003,           0.0075003
                 103,            0.022339,           0.0060664,           0.0031101,             0.91979,             0.73797,              0.8106,             0.48835,            0.026696,           0.0037883,           0.0026568,           0.0074755,           0.0074755,           0.0074755
                 104,            0.022297,           0.0060332,           0.0030865,             0.91879,             0.73878,             0.81033,             0.48806,            0.026714,            0.003794,           0.0026474,           0.0074507,           0.0074507,           0.0074507
